kegg_pair,Enzyme1,WT_MEF.x,WT_BMDM.x,log2diff.x,Enzyme2,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
gpx8-hpgds,gpx8,340.111,0.429472,7.89861510764447,hpgds,0.109275,131.38874,-6.89901954435191,14.7976346519964
cyp1b1-hpgds,cyp1b1,149.006,0.396405,6.74715896938365,hpgds,0.109275,131.38874,-6.89901954435191,13.6461785137356
gpx7-hpgds,gpx7,65.1881,0.573181,5.39481528475329,hpgds,0.109275,131.38874,-6.89901954435191,12.2938348291052
cyp1b1-ugt1a7c,cyp1b1,149.006,0.396405,6.74715896938365,ugt1a7c,1.87087,92.0015,-5.01769407692343,11.7648530463071
ephx1-hpgds,ephx1,284.119721,9.21198,4.80323330776584,hpgds,0.109275,131.38874,-6.89901954435191,11.7022528521178
ptgs2-hpgds,ptgs2,42.4888,0.589407,4.77408339209244,hpgds,0.109275,131.38874,-6.89901954435191,11.6731029364444
pld4-lpin3,pld4,0.445869,469.26355,-8.3453888576232,lpin3,7.870610848,0.0449562,3.08559098271392,11.4309798403371
gsta4-hpgds,gsta4,24.53438,0.112364,4.52074016441871,hpgds,0.109275,131.38874,-6.89901954435191,11.4197597087706
hpgds-gsta4,hpgds,0.109275,131.38874,-6.89901954435191,gsta4,24.53438,0.112364,4.52074016441871,11.4197597087706
gstp1-hpgds,gstp1,164.513,7.38881,4.30233455508118,hpgds,0.109275,131.38874,-6.89901954435191,11.2013540994331
hpgds-gstp1,hpgds,0.109275,131.38874,-6.89901954435191,gstp1,164.513,7.38881,4.30233455508118,11.2013540994331
hk3-pmm1,hk3,0.226898,257.87683,-7.72110672328951,pmm1,118.174863,11.731516,3.22660384403215,10.9477105673217
mboat2-pld4,mboat2,4.418691,0.0141553,2.41766578744986,pld4,0.445869,469.26355,-8.3453888576232,10.7630546450731
ggt7-hpgds,ggt7,16.19354,0.202868,3.83731637549266,hpgds,0.109275,131.38874,-6.89901954435191,10.7363359198446
hpgds-ggt7,hpgds,0.109275,131.38874,-6.89901954435191,ggt7,16.19354,0.202868,3.83731637549266,10.7363359198446
alox5-gpx8,alox5,0.111607,6.769639,-2.80520074378345,gpx8,340.111,0.429472,7.89861510764447,10.7038158514279
ptgs2-tbxas1,ptgs2,42.4888,0.589407,4.77408339209244,tbxas1,1.1791225,114.2830637,-5.72528947093682,10.4993728630293
galnt6-wbscr17,galnt6,0.244237,59.2633,-5.59794645795474,wbscr17,26.88696974,0,4.80151927132646,10.3994657292812
pla2g6-pld4,pla2g6,13.89847303,2.608515,2.04568731704701,pld4,0.445869,469.26355,-8.3453888576232,10.3910761746702
gfpt2-hk3,gfpt2,5.5462885,0.100612,2.57237122086505,hk3,0.226898,257.87683,-7.72110672328951,10.2934779441546
hk3-gfpt2,hk3,0.226898,257.87683,-7.72110672328951,gfpt2,5.5462885,0.100612,2.57237122086505,10.2934779441546
adh7-hpgds,adh7,7.821317,0,3.14099406253189,hpgds,0.109275,131.38874,-6.89901954435191,10.0400136068838
entpd1-npr2,entpd1,1.8928853,48.673473,-4.1018945905206,npr2,73.633276,0.2432081,5.90767930033879,10.0095738908594
gstt1-hpgds,gstt1,8.52661,0.104858,3.1081019675148,hpgds,0.109275,131.38874,-6.89901954435191,10.0071215118667
hpgds-gstt1,hpgds,0.109275,131.38874,-6.89901954435191,gstt1,8.52661,0.104858,3.1081019675148,10.0071215118667
gstm2-hpgds,gstm2,42.12821,4.0719,3.08803363346676,hpgds,0.109275,131.38874,-6.89901954435191,9.98705317781867
hpgds-gstm2,hpgds,0.109275,131.38874,-6.89901954435191,gstm2,42.12821,4.0719,3.08803363346676,9.98705317781867
galnt13-galnt6,galnt13,18.196235,0,4.26275147461169,galnt6,0.244237,59.2633,-5.59794645795474,9.86069793256643
gpx1-gpx8,gpx1,437.34412,1681.16476,-1.94018321687313,gpx8,340.111,0.429472,7.89861510764447,9.8387983245176
pla2g4b-pld4,pla2g4b,2.90156296,0.386406,1.49270237790835,pld4,0.445869,469.26355,-8.3453888576232,9.83809123553155
hpgds-ptgis,hpgds,0.109275,131.38874,-6.89901954435191,ptgis,6.60122,0,2.92623099048975,9.82525053484166
cyp4f18-ptgs2,cyp4f18,0,29.63136,-4.93693751738082,ptgs2,42.4888,0.589407,4.77408339209244,9.71102090947326
gpx8-mgst2,gpx8,340.111,0.429472,7.89861510764447,mgst2,0.8148781,5.194421,-1.77109678831109,9.66971189595556
dgkh-pld4,dgkh,4.27564,1.13166,1.30736877465227,pld4,0.445869,469.26355,-8.3453888576232,9.65275763227547
adh1-hpgds,adh1,6.442594,0.14308752,2.70286967072299,hpgds,0.109275,131.38874,-6.89901954435191,9.6018892150749
adcy7-npr2,adcy7,5.538565004,83.60537,-3.69370328342386,npr2,73.633276,0.2432081,5.90767930033879,9.60138258376265
ggt7-anpep,ggt7,16.19354,0.202868,3.83731637549266,anpep,8.9749,495.152998,-5.63633888267481,9.47365525816747
lcat-pld4,lcat,3.33123,1.01759,1.1021437552285,pld4,0.445869,469.26355,-8.3453888576232,9.4475326128517
ak1-entpd1,ak1,189.645,3.81771,5.30639733034639,entpd1,1.8928853,48.673473,-4.1018945905206,9.40829192086699
entpd1-ak1,entpd1,1.8928853,48.673473,-4.1018945905206,ak1,189.645,3.81771,5.30639733034639,9.40829192086699
lclat1-pld4,lclat1,23.880466,11.038976,1.04730082084852,pld4,0.445869,469.26355,-8.3453888576232,9.39268967847172
lpcat4-pld4,lpcat4,25.626301,12.732247,0.955284307055464,pld4,0.445869,469.26355,-8.3453888576232,9.30067316467867
gaa-hk3,gaa,209.05421,70.75673,1.54957564891689,hk3,0.226898,257.87683,-7.72110672328951,9.2706823722064
plb1-pld4,plb1,1.277601309,0.2043748,0.919230800404245,pld4,0.445869,469.26355,-8.3453888576232,9.26461965802745
wbscr17-gcnt1,wbscr17,26.88696974,0,4.80151927132646,gcnt1,1.889713,62.51303,-4.45805447836963,9.25957374969609
adcy6-entpd1,adcy6,38.4311,0.144194,5.10693036820939,entpd1,1.8928853,48.673473,-4.1018945905206,9.20882495872999
gstm5-hpgds,gstm5,58.998459,11.246,2.29261485882326,hpgds,0.109275,131.38874,-6.89901954435191,9.19163440317518
hpgds-gstm5,hpgds,0.109275,131.38874,-6.89901954435191,gstm5,58.998459,11.246,2.29261485882326,9.19163440317518
pik3cg-plcd1,pik3cg,0.1024309,37.884952,-5.14045182182076,plcd1,32.93366,1.063621,4.03946710586315,9.1799189276839
pld4-lpin1,pld4,0.445869,469.26355,-8.3453888576232,lpin1,6.5073599,3.21702,0.832081783028215,9.17747064065142
lipg-lpl,lipg,38.9602,0.180706,5.08084212544679,lpl,15.897986,279.8065592,-4.05465342202347,9.13549554747026
lpl-lipg,lpl,15.897986,279.8065592,-4.05465342202347,lipg,38.9602,0.180706,5.08084212544679,9.13549554747026
pla2g4a-pld4,pla2g4a,53.63,30.7024994,0.785096837250424,pld4,0.445869,469.26355,-8.3453888576232,9.13048569487363
chpt1-pld4,chpt1,22.56556993,13.032898,0.747867595663594,pld4,0.445869,469.26355,-8.3453888576232,9.0932564532868
gpx3-gpx8,gpx3,20.052029,45.6593,-1.14820537632822,gpx8,340.111,0.429472,7.89861510764447,9.04682048397269
pld4-ptdss2,pld4,0.445869,469.26355,-8.3453888576232,ptdss2,30.834808,18.829095,0.682986228700512,9.02837508632371
aldh3b1-gsta4,aldh3b1,3.04071,90.6435,-4.50335183958591,gsta4,24.53438,0.112364,4.52074016441871,9.02409200400462
hpgds-ptges,hpgds,0.109275,131.38874,-6.89901954435191,ptges,11.98279,2.050575,2.08944734599987,8.98846689035178
gpx8-gstm1,gpx8,340.111,0.429472,7.89861510764447,gstm1,33.755712,72.146352,-1.07353581513237,8.97215092277684
gpx8-gsta3,gpx8,340.111,0.429472,7.89861510764447,gsta3,0.2012141,1.434288,-1.0190065483958,8.91762165604026
npr2-pde1b,npr2,73.633276,0.2432081,5.90767930033879,pde1b,2.29403,24.6889,-2.96321951587038,8.87089881620917
dgkq-pld4,dgkq,14.740842,10.399198,0.465580388758641,pld4,0.445869,469.26355,-8.3453888576232,8.81096924638184
aldh3b1-gstp1,aldh3b1,3.04071,90.6435,-4.50335183958591,gstp1,164.513,7.38881,4.30233455508118,8.8056863946671
adcy6-adcy7,adcy6,38.4311,0.144194,5.10693036820939,adcy7,5.538565004,83.60537,-3.69370328342386,8.80063365163325
pla2g1b-pld4,pla2g1b,0.370338,0,0.454531784266606,pld4,0.445869,469.26355,-8.3453888576232,8.79992064188981
hk3-pfkm,hk3,0.226898,257.87683,-7.72110672328951,pfkm,19.67780027,8.79537,1.0779108246514,8.79901754794092
pemt-pld4,pemt,7.318714011,5.104647,0.44645264547982,pld4,0.445869,469.26355,-8.3453888576232,8.79184150310302
agpat1-pld4,agpat1,93.3708584,69.99546019,0.410614651655821,pld4,0.445869,469.26355,-8.3453888576232,8.75600350927902
gsto1-hpgds,gsto1,355.23474,98.555126,1.83926070888804,hpgds,0.109275,131.38874,-6.89901954435191,8.73828025323995
hpgds-gsto1,hpgds,0.109275,131.38874,-6.89901954435191,gsto1,355.23474,98.555126,1.83926070888804,8.73828025323995
adpgk-hk3,adpgk,52.247475,25.3876136,1.01285222977304,hk3,0.226898,257.87683,-7.72110672328951,8.73395895306256
hk3-mpi,hk3,0.226898,257.87683,-7.72110672328951,mpi,33.848298,16.405693,1.00152894073805,8.72263566402756
galnt13-gcnt1,galnt13,18.196235,0,4.26275147461169,gcnt1,1.889713,62.51303,-4.45805447836963,8.72080595298132
gfpt1-hk3,gfpt1,30.305407,14.9679049,0.971236824186319,hk3,0.226898,257.87683,-7.72110672328951,8.69234354747583
hk3-gfpt1,hk3,0.226898,257.87683,-7.72110672328951,gfpt1,30.305407,14.9679049,0.971236824186319,8.69234354747583
lpcat1-pld4,lpcat1,23.89261,18.766236,0.332679334436049,pld4,0.445869,469.26355,-8.3453888576232,8.67806819205925
gpx8-mgst3,gpx8,340.111,0.429472,7.89861510764447,mgst3,36.6253,63.2013,-0.770899425460039,8.6695145331045
agpat4-pld4,agpat4,23.41269,18.508892,0.323499429451878,pld4,0.445869,469.26355,-8.3453888576232,8.66888828707508
plcb2-plcd1,plcb2,0.0908035,25.791776,-4.61832707957913,plcd1,32.93366,1.063621,4.03946710586315,8.65779418544227
gpx8-gstk1,gpx8,340.111,0.429472,7.89861510764447,gstk1,5.30328,9.64219,-0.755620410291206,8.65423551793567
mboat1-pld4,mboat1,10.050949,7.9361985,0.306437128430503,pld4,0.445869,469.26355,-8.3453888576232,8.65182598605371
ptgis-tbxas1,ptgis,6.60122,0,2.92623099048975,tbxas1,1.1791225,114.2830637,-5.72528947093682,8.65152046142657
plcd1-plcg2,plcd1,32.93366,1.063621,4.03946710586315,plcg2,2.64528,87.7886,-4.60627291411713,8.64574001998028
hk3-gnpnat1,hk3,0.226898,257.87683,-7.72110672328951,gnpnat1,21.4607,10.8471,0.922868939513851,8.64397566280336
gss-hpgds,gss,57.68385,16.525223,1.74353072130531,hpgds,0.109275,131.38874,-6.89901954435191,8.64255026565722
ggt5-gpx8,ggt5,0.2660191,1.089095,-0.722578928971832,gpx8,340.111,0.429472,7.89861510764447,8.6211940366163
dgkk-pld4,dgkk,0.207292001,0,0.271774654921108,pld4,0.445869,469.26355,-8.3453888576232,8.61716351254431
gpx8-gstt2,gpx8,340.111,0.429472,7.89861510764447,gstt2,2.691831493,5.047447356,-0.711989600098558,8.61060470774302
maoa-aldh3b1,maoa,72.0877,3.24255,4.10662506638774,aldh3b1,3.04071,90.6435,-4.50335183958591,8.60997690597365
ak5-entpd1,ak5,30.21457,0.381986,4.49740468600608,entpd1,1.8928853,48.673473,-4.1018945905206,8.59929927652668
entpd1-ak5,entpd1,1.8928853,48.673473,-4.1018945905206,ak5,30.21457,0.381986,4.49740468600608,8.59929927652668
pik3cg-plce1,pik3cg,0.1024309,37.884952,-5.14045182182076,plce1,10.13326093,0.0132735,3.45778067958051,8.59823250140127
hk3-pfkfb1,hk3,0.226898,257.87683,-7.72110672328951,pfkfb1,5.4788868,2.5853,0.853652109565398,8.57475883285491
pla2g4e-pld4,pla2g4e,0.157235,0,0.210681862637699,pld4,0.445869,469.26355,-8.3453888576232,8.5560707202609
pla2g12a-pld4,pla2g12a,15.1312899,13.272374,0.176636478837677,pld4,0.445869,469.26355,-8.3453888576232,8.52202533646088
cyp1b1-mgst2,cyp1b1,149.006,0.396405,6.74715896938365,mgst2,0.8148781,5.194421,-1.77109678831109,8.51825575769474
gstm6-hpgds,gstm6,2.06682,0,1.61674349339723,hpgds,0.109275,131.38874,-6.89901954435191,8.51576303774914
hpgds-gstm6,hpgds,0.109275,131.38874,-6.89901954435191,gstm6,2.06682,0,1.61674349339723,8.51576303774914
dgki-pld4,dgki,0.139063778,0.0325969,0.14157135606032,pld4,0.445869,469.26355,-8.3453888576232,8.48696021368352
agpat3-pld4,agpat3,63.419543,58.33144498,0.118701506949105,pld4,0.445869,469.26355,-8.3453888576232,8.46409036457231
cyp2c40-gpx8,cyp2c40,0,0.450997,-0.537044536572406,gpx8,340.111,0.429472,7.89861510764447,8.43565964421687
pla2g4c-pld4,pla2g4c,0.392526,0.3193844,0.0778393123882477,pld4,0.445869,469.26355,-8.3453888576232,8.42322817001145
dgka-pld4,dgka,5.296282,5.011696,0.0667281014417496,pld4,0.445869,469.26355,-8.3453888576232,8.41211695906495
aldh1a3-hpgds,aldh1a3,3.56941,0.6074588,1.50722613621809,hpgds,0.109275,131.38874,-6.89901954435191,8.40624568057
pla2g3-pld4,pla2g3,0.0749636,0.0388017,0.0493675285598261,pld4,0.445869,469.26355,-8.3453888576232,8.39475638618303
pla2g2d-pld4,pla2g2d,0.2561584,0.215812,0.0470982344461681,pld4,0.445869,469.26355,-8.3453888576232,8.39248709206937
pld4-cds2,pld4,0.445869,469.26355,-8.3453888576232,cds2,40.51288,39.321568,0.0420072813553318,8.38739613897853
dgkb-pld4,dgkb,0.0291633,0,0.0414719165449863,pld4,0.445869,469.26355,-8.3453888576232,8.38686077416819
pla2g10-pld4,pla2g10,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
pla2g2a-pld4,pla2g2a,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
pla2g2c-pld4,pla2g2c,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
pla2g2f-pld4,pla2g2f,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
pla2g4d-pld4,pla2g4d,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
pla2g4f-pld4,pla2g4f,0,0,0,pld4,0.445869,469.26355,-8.3453888576232,8.3453888576232
gnpda2-hk3,gnpda2,22.259444,14.567416,0.579287116034949,hk3,0.226898,257.87683,-7.72110672328951,8.30039383932446
hk3-gnpda2,hk3,0.226898,257.87683,-7.72110672328951,gnpda2,22.259444,14.567416,0.579287116034949,8.30039383932446
pde1b-ak1,pde1b,2.29403,24.6889,-2.96321951587038,ak1,189.645,3.81771,5.30639733034639,8.26961684621677
gstt3-hpgds,gstt3,14.1783158,5.111427,1.31243052736841,hpgds,0.109275,131.38874,-6.89901954435191,8.21145007172032
hpgds-gstt3,hpgds,0.109275,131.38874,-6.89901954435191,gstt3,14.1783158,5.111427,1.31243052736841,8.21145007172032
alox5-gpx7,alox5,0.111607,6.769639,-2.80520074378345,gpx7,65.1881,0.573181,5.39481528475329,8.20001602853674
pld4-ptdss1,pld4,0.445869,469.26355,-8.3453888576232,ptdss1,38.4601,42.8487,-0.152139458993662,8.19324939862954
adh7-ugt1a7c,adh7,7.821317,0,3.14099406253189,ugt1a7c,1.87087,92.0015,-5.01769407692343,8.15868813945532
agpat2-pld4,agpat2,30.187296,34.5028,-0.186974336529221,pld4,0.445869,469.26355,-8.3453888576232,8.15841452109398
gpx8-gstm4,gpx8,340.111,0.429472,7.89861510764447,gstm4,8.103727,9.88746791,-0.258139266320885,8.15675437396535
pla2g12b-pld4,pla2g12b,0,0.141582,-0.191034492277869,pld4,0.445869,469.26355,-8.3453888576232,8.15435436534533
dgkz-lipg,dgkz,29.03963362,248.73477,-3.05545757621147,lipg,38.9602,0.180706,5.08084212544679,8.13629970165826
lipg-dgkz,lipg,38.9602,0.180706,5.08084212544679,dgkz,29.03963362,248.73477,-3.05545757621147,8.13629970165826
maob-aldh3b1,maob,11.386581,0,3.63070611811746,aldh3b1,3.04071,90.6435,-4.50335183958591,8.13405795770337
gpx8-gstm3,gpx8,340.111,0.429472,7.89861510764447,gstm3,0,0.162158,-0.216806222202587,8.11542132984705
gck-hk3,gck,0.360137,0.0571761,0.363536259584459,hk3,0.226898,257.87683,-7.72110672328951,8.08464298287397
cyp2c44-gpx8,cyp2c44,0,0.132818,-0.179916094531094,gpx8,340.111,0.429472,7.89861510764447,8.07853120217556
plcb2-plce1,plcb2,0.0908035,25.791776,-4.61832707957913,plce1,10.13326093,0.0132735,3.45778067958051,8.07610775915964
sardh-gatm,sardh,13.624241,0.326261,3.46292512857427,gatm,0.62673,38.787434,-4.6122661371089,8.07519126568317
adcy6-pde1b,adcy6,38.4311,0.144194,5.10693036820939,pde1b,2.29403,24.6889,-2.96321951587038,8.07014988407977
cyp2c50-gpx8,cyp2c50,0.1145441,0.250447,-0.165990208490912,gpx8,340.111,0.429472,7.89861510764447,8.06460531613538
plce1-plcg2,plce1,10.13326093,0.0132735,3.45778067958051,plcg2,2.64528,87.7886,-4.60627291411713,8.06405359369764
gpx2-gpx8,gpx2,0,0.108108,-0.148098498238391,gpx8,340.111,0.429472,7.89861510764447,8.04671360588286
gpx8-gsr,gpx8,340.111,0.429472,7.89861510764447,gsr,28.25335,31.23891,-0.140201120086847,8.03881622773131
gsr-gpx8,gsr,28.25335,31.23891,-0.140201120086847,gpx8,340.111,0.429472,7.89861510764447,8.03881622773131
galnt14-galnt6,galnt14,4.36497,0,2.42357010369899,galnt6,0.244237,59.2633,-5.59794645795474,8.02151656165373
pld1-pld4,pld1,4.9394901,6.5195809,-0.340313174030462,pld4,0.445869,469.26355,-8.3453888576232,8.00507568359274
g6pc3-hk3,g6pc3,34.124655,27.865624,0.283131642009311,hk3,0.226898,257.87683,-7.72110672328951,8.00423836529883
hk3-g6pc3,hk3,0.226898,257.87683,-7.72110672328951,g6pc3,34.124655,27.865624,0.283131642009311,8.00423836529883
ggt6-gpx8,ggt6,0,0.0754538,-0.104945549919023,gpx8,340.111,0.429472,7.89861510764447,8.00356065756349
pik3cg-plcd3,pik3cg,0.1024309,37.884952,-5.14045182182076,plcd3,15.685744,1.350477,2.82759054764353,7.96804236946429
pik3cd-plcd1,pik3cd,1.5242462,36.906366,-3.9085156209233,plcd1,32.93366,1.063621,4.03946710586315,7.94798272678645
cyp26b1-ugt1a7c,cyp26b1,6.5939,0,2.92484100100415,ugt1a7c,1.87087,92.0015,-5.01769407692343,7.94253507792757
fbp2-hk3,fbp2,0.149921,0,0.201534750888667,hk3,0.226898,257.87683,-7.72110672328951,7.92264147417818
cyp2c29-gpx8,cyp2c29,0.056186709,0.0572804,-0.00149315096136814,gpx8,340.111,0.429472,7.89861510764447,7.90010825860583
alox15-gpx8,alox15,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c37-gpx8,cyp2c37,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c38-gpx8,cyp2c38,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c39-gpx8,cyp2c39,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c54-gpx8,cyp2c54,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c65-gpx8,cyp2c65,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c66-gpx8,cyp2c66,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
cyp2c70-gpx8,cyp2c70,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
ggt1-gpx8,ggt1,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
gpx5-gpx8,gpx5,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
gpx6-gpx8,gpx6,0,0,0,gpx8,340.111,0.429472,7.89861510764447,7.89861510764447
gpx8-gsta1,gpx8,340.111,0.429472,7.89861510764447,gsta1,0,0,0,7.89861510764447
gpx8-gsta2,gpx8,340.111,0.429472,7.89861510764447,gsta2,0,0,0,7.89861510764447
b4galt2-st6gal1,b4galt2,58.40078,0.0566601,5.81289859629795,st6gal1,3.283353,17.15195,-2.08331205745875,7.8962106537567
pld2-pld4,pld2,16.772943,23.418691,-0.458303269335677,pld4,0.445869,469.26355,-8.3453888576232,7.88708558828753
galnt10-galnt6,galnt10,75.24808,14.71539,2.27852293443856,galnt6,0.244237,59.2633,-5.59794645795474,7.87646939239329
galm-hk3,galm,18.429312,16.783105,0.12772756901381,hk3,0.226898,257.87683,-7.72110672328951,7.84883429230332
cyp2j5-gpx8,cyp2j5,0.0824835,0.0426886,0.0540366746562019,gpx8,340.111,0.429472,7.89861510764447,7.84457843298826
cyp2j13-gpx8,cyp2j13,0.0644076,0.0225497,0.0578797509149887,gpx8,340.111,0.429472,7.89861510764447,7.84073535672948
hk3-hkdc1,hk3,0.226898,257.87683,-7.72110672328951,hkdc1,0.0807618,0,0.112048587988198,7.83315531127771
g6pc-hk3,g6pc,0.0799786,0,0.11100272537045,hk3,0.226898,257.87683,-7.72110672328951,7.83210944865996
hk3-g6pc,hk3,0.226898,257.87683,-7.72110672328951,g6pc,0.0799786,0,0.11100272537045,7.83210944865996
dgke-pld4,dgke,4.082651,6.261863,-0.514758541370782,pld4,0.445869,469.26355,-8.3453888576232,7.83063031625242
cyp1b1-gstm1,cyp1b1,149.006,0.396405,6.74715896938365,gstm1,33.755712,72.146352,-1.07353581513237,7.82069478451602
lpcat3-pld4,lpcat3,43.488339,63.117958,-0.527301244322512,pld4,0.445869,469.26355,-8.3453888576232,7.81808761330069
cyp2c68-gpx8,cyp2c68,0.0574297,0,0.0805617533379922,gpx8,340.111,0.429472,7.89861510764447,7.81805335430647
ptges-tbxas1,ptges,11.98279,2.050575,2.08944734599987,tbxas1,1.1791225,114.2830637,-5.72528947093682,7.81473681693669
alox8-gpx8,alox8,0.117867,0.0328204,0.114159149683218,gpx8,340.111,0.429472,7.89861510764447,7.78445595796125
cyp1b1-gsta3,cyp1b1,149.006,0.396405,6.74715896938365,gsta3,0.2012141,1.434288,-1.0190065483958,7.76616551777945
gpx8-mgst1,gpx8,340.111,0.429472,7.89861510764447,mgst1,118.231128,107.686539,0.133587661991804,7.76502744565266
lct-hk3,lct,0.0301254,0,0.0428199713367496,hk3,0.226898,257.87683,-7.72110672328951,7.76392669462626
cyp2c55-gpx8,cyp2c55,0.0980623,0,0.134959909854289,gpx8,340.111,0.429472,7.89861510764447,7.76365519779018
cyp2f2-hpgds,cyp2f2,0.771596,0,0.825049644948941,hpgds,0.109275,131.38874,-6.89901954435191,7.72406918930085
hk3-pmm2,hk3,0.226898,257.87683,-7.72110672328951,pmm2,54.772015,54.68148,0.00234383720771714,7.72345056049723
g6pc2-hk3,g6pc2,0,0,0,hk3,0.226898,257.87683,-7.72110672328951,7.72110672328951
hk3-g6pc2,hk3,0.226898,257.87683,-7.72110672328951,g6pc2,0,0,0,7.72110672328951
adh1-ugt1a7c,adh1,6.442594,0.14308752,2.70286967072299,ugt1a7c,1.87087,92.0015,-5.01769407692343,7.72056374764641
gstp2-hpgds,gstp2,0.762288,0,0.817449714393923,hpgds,0.109275,131.38874,-6.89901954435191,7.71646925874584
hpgds-gstp2,hpgds,0.109275,131.38874,-6.89901954435191,gstp2,0.762288,0,0.817449714393923,7.71646925874584
pisd-pld4,pisd,60.84789,94.74538,-0.630478497262533,pld4,0.445869,469.26355,-8.3453888576232,7.71491036036067
fbp1-hk3,fbp1,0.193275,0.19902,-0.0069291612805516,hk3,0.226898,257.87683,-7.72110672328951,7.71417756200896
cyp4a12b-ugt1a7c,cyp4a12b,5.74867,0.0417426,2.69560435787994,ugt1a7c,1.87087,92.0015,-5.01769407692343,7.71329843480337
hk3-pfkfb2,hk3,0.226898,257.87683,-7.72110672328951,pfkfb2,9.411553831,9.639508408,-0.0312460995372907,7.68986062375222
dgkd-lipg,dgkd,14.764858,93.67449,-2.58626356932393,lipg,38.9602,0.180706,5.08084212544679,7.66710569477072
lipg-dgkd,lipg,38.9602,0.180706,5.08084212544679,dgkd,14.764858,93.67449,-2.58626356932393,7.66710569477072
cept1-pld4,cept1,42.795302,69.766769,-0.692295933979938,pld4,0.445869,469.26355,-8.3453888576232,7.65309292364326
pla2g16-pld4,pla2g16,18.622036,30.725073,-0.693148739087746,pld4,0.445869,469.26355,-8.3453888576232,7.65224011853546
adh7-aldh3b1,adh7,7.821317,0,3.14099406253189,aldh3b1,3.04071,90.6435,-4.50335183958591,7.6443459021178
sis-hk3,sis,0,0.0598964,-0.0839232548727492,hk3,0.226898,257.87683,-7.72110672328951,7.63718346841676
cyp4a12b-cyp4f18,cyp4a12b,5.74867,0.0417426,2.69560435787994,cyp4f18,0,29.63136,-4.93693751738082,7.63254187526076
bst1-nnmt,bst1,0.142555,13.722741,-3.68771076940523,nnmt,17.85628,0.224644,3.94461075811309,7.63232152751832
ptgs1-hpgds,ptgs1,8.393435,4.690013,0.723220871752177,hpgds,0.109275,131.38874,-6.89901954435191,7.62224041610409
aldh3b1-gstt1,aldh3b1,3.04071,90.6435,-4.50335183958591,gstt1,8.52661,0.104858,3.1081019675148,7.61145380710071
galnt7-wbscr17,galnt7,5.393887,43.725143,-2.8063209425046,wbscr17,26.88696974,0,4.80151927132646,7.60784021383106
aldh3b1-gstm2,aldh3b1,3.04071,90.6435,-4.50335183958591,gstm2,42.12821,4.0719,3.08803363346676,7.59138547305267
gpx4-gpx8,gpx4,810.277051,653.869209,0.308987879525438,gpx8,340.111,0.429472,7.89861510764447,7.58962722811903
alox5-ptgs2,alox5,0.111607,6.769639,-2.80520074378345,ptgs2,42.4888,0.589407,4.77408339209244,7.57928413587589
mgam-hk3,mgam,0.264914,0.4031229,-0.1496020794972,hk3,0.226898,257.87683,-7.72110672328951,7.57150464379231
gsto2-hpgds,gsto2,1.42778,0.543863,0.653092957941813,hpgds,0.109275,131.38874,-6.89901954435191,7.55211250229373
hpgds-gsto2,hpgds,0.109275,131.38874,-6.89901954435191,gsto2,1.42778,0.543863,0.653092957941813,7.55211250229373
ganc-hk3,ganc,5.2700051,6.063727,-0.171962970054676,hk3,0.226898,257.87683,-7.72110672328951,7.54914375323484
ak1-ampd3,ak1,189.645,3.81771,5.30639733034639,ampd3,9.899421,50.283457,-2.23424201874056,7.54063934908696
cyp1b1-mgst3,cyp1b1,149.006,0.396405,6.74715896938365,mgst3,36.6253,63.2013,-0.770899425460039,7.51805839484369
gpx8-txndc12,gpx8,340.111,0.429472,7.89861510764447,txndc12,86.790554,66.421871,0.380849054869918,7.51776605277455
hpgds-ptges3,hpgds,0.109275,131.38874,-6.89901954435191,ptges3,140.34741,91.7756,0.60742811668861,7.50644766104052
hk3-pgm2,hk3,0.226898,257.87683,-7.72110672328951,pgm2,37.4285,43.6529,-0.216577210761249,7.50452951252826
cyp1b1-gstk1,cyp1b1,149.006,0.396405,6.74715896938365,gstk1,5.30328,9.64219,-0.755620410291206,7.50277937967486
cyp1a1-hpgds,cyp1a1,0.513104,0,0.597511151551863,hpgds,0.109275,131.38874,-6.89901954435191,7.49653069590378
hk3-pgm1,hk3,0.226898,257.87683,-7.72110672328951,pgm1,26.16976,30.94963,-0.233797402023108,7.48730932126641
